순,검체명,동물명,Hg,As,Cd,Pb,Al,Ba,U,Bi,Ni,Ti,Cs,Sb,Ca,Mg,Na,K,Cu,Zn,P,Fe,Mn,Cr,Se,Co,Li,V,Mo,B,Ca_Mg,Ca_P,Na_K,Zn_Cu,Na_Mg,Ca_K,종,품종,나이,성별,몸무게,BCS,피부건강,관절건강,심장건강,눈건강,호흡기건강,구강건강,소화기건강,비뇨생식기건강,뇌신경건강,호르몬건강,보호자관찰내용1,보호자관찰내용2,보호자관찰내용3,보호자관찰내용4,보호자관찰내용5,보호자관찰내용6,보호자관찰내용7,보호자관찰내용8,보호자관찰내용9,보호자관찰내용10,수의사소견및진단명1,수의사소견및진단명2,수의사소견및진단명3,수의사소견및진단명4,수의사소견및진단명5,수의사소견및진단명6,수의사소견및진단명7,수의사소견및진단명8,수의사소견및진단명9,수의사소견및진단명10,질병명1,질병명2,질병명3,질병명4,질병명5,질병명6,질병명7,질병명8,질병명9,질병명10,카테고리1,카테고리2,카테고리3,카테고리4,카테고리5,카테고리6,카테고리7,카테고리8,카테고리9,카테고리10,혈액검사일,Purpose_of_visit,Record,Glucose,BUN,Creatinine,BUN/CREratio,ALP,ALT,T_protein,Albumin,Globulin,A/G ratio,T_bilirubin,GGT,T_cholesterol,Phosphorus,Calcium[Ca++],Amylase,Lipase(Dry),Lipase,AST/GOT,ALT/GPT,TG,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-CV,#RETIC,%RETIC,RETHGB,WBC,%NEU,%LYM,%MON,EO(%),%BASO,%GRA,#NEU,#LYM,#MON,EO(#),#BASO,#GRA,PLT,MPV,PDW,THT,cPL,Na+,K+,Ca++,Cl-,pH,PCO2,PO2,HCO3-,BEecf(Ven),tCO2,ANION GAP,SO2,stO2,Hct(Ven),CRP,UPC,Urine protein,Urine Creatinine,pH(U),SDMA,Na/K,새카테고리1,새카테고리2,새카테고리3,새카테고리4,새카테고리5,새카테고리6,새카테고리7,새카테고리8,새카테고리9,새카테고리10
1,V0806_1,세라,0.194,0.075,0.089,2.551,28.423,1.623,0.044,0.018,0.365,0.01,0.008,0.063,602.59,72.452,1840.926,1214.274,32.696,205.525,209.529,29.044,1.331,0.367,0.593,0.066,0.034,0.064,0.042,1.528,8.317092696,2.875926483,1.516071332,6.285937118,25.40890521,0.496255376,개,푸들,5,FS,6.6,3,2,4,5,5,5,4,4,5,5,5,피부병,,,,,,,,,,세균성 모낭염,,,,,,,,,,모낭염,,,,,,,,,,피부질환,,,,,,,,,,2021-08-01,간수치 재검,2,,,,,,,,,,,,,,,,,,,,,,8.11,57.1,19.2,70.4,23.7,3.41,18.3,73,0.9,,10.46,60.8,31.5,4.5,2.8,0.4,,6.36,3.3,0.47,0.29,0.04,,293,13.9,15.2,0.41,,,,,,,,,,,,,,,,,,,,,,,기타,,,,,,,,,
2,V0806_2,샴푸,0.066,0.052,0.007,0.525,12.01,0.728,0.002,0.007,0.233,0.005,0.004,0.098,510.321,88.321,1059.489,134.627,15.608,177.917,294.421,22.537,0.408,0.197,0.498,0.013,0.125,0.034,0.029,0.493,5.778025611,1.733303671,7.869810662,11.39909021,11.99588999,3.790628923,개,시츄,10,MC,9.96,5,4,4,2,5,1,5,5,5,5,5,기침,,,,,,,,,,기관 협착,심장병,,,,,,,,,기관협착증,심장병,,,,,,,,,호흡기질환,심장질환,,,,,,,,,2021-07-29,기침,27,,,,,,,,,,,,,,,,,,,,,,6.72,40.2,14.2,59.8,21.1,35.3,18.9,18.8,0.3,,22.75,88.3,6.8,4.2,0.2,0.5,,20.07,1.55,0.96,0.05,0.12,,423,13.3,13.8,0.56,,,,,,,,,,,,,,,,,,,,,,,심장질환,,,,,,,,,
3,V0806_3,엔젤,0.051,0.11,0.014,0.7,9.039,0.566,0.004,0.06,0.525,0.006,0.009,0.138,295.227,117.038,1728.519,3839.197,14.337,175.046,1511.1,18.783,0.902,0.26,0.835,0.025,0.096,0.071,0.275,2.36,2.522488423,0.195372245,0.450229306,12.2093883,14.76886994,0.076898112,개,믹스,4,FS,3.2,2,5,5,5,5,4,5,5,5,5,5,건강함,치석많음,,,,,,,,,건강함,치석 CI 2,마취전 검사 시 Tracheal muscle redundancy 외 이상 없음,,,,,,,,기타(마취전검사),,,,,,,,,,기타,,,,,,,,,,2021-07-29,스케일링,15,94,33.7,1.29,26.12,45,44,6.4,3.1,3.3,0.9,,,,,,,,,,,,7.18,38.8,13.9,54,19.4,35.8,21.4,183.1,2.6,,13.78,43.8,49.1,3.2,3.8,0.1,,6.02,6.77,0.44,0.53,0.02,,297,11.3,9.3,0.34,,152,4.54,1.32,114,7.33,36.4,64,18.5,-6.4,16.6,23.7,90.6,17.4,42,,,,,,,,기타,,,,,,,,,
4,V0806_4,하은,0.036,0.065,0.004,0.257,13.027,0.642,0.002,0.013,0.38,0.004,0.005,0.078,335.285,51.097,757.073,264.473,15.11,176.196,236.489,24.669,0.452,0.239,0.416,0.021,0.049,0.032,0.054,4.029,6.561735523,1.417761503,2.862571983,11.66088683,14.81638844,1.267747558,개,포메라니언,11,MC,2.83,3,5,3,2,5,4,3,5,2,5,5,기침 간헐적으로 보임,기절 간헐적으로 보임,,,,,,,,,심장병,방광 결석,,,,,,,,,방광결석,심장병,,,,,,,,,비뇨기질환,심장질환,,,,,,,,,2021-07-29,방광결석,4,130,19.9,0.9,21,10,77,6.3,3,3.3,0.9,0.1,5,179,4.1,10.6,687,77,,45,,74,8.21,51,17.8,62.1,21.7,34.9,20.1,123.2,1.5,,9.72,54.4,36.8,4.1,4.5,0.2,,5.28,3.58,0.4,0.44,0.02,,287,13.8,15.9,0.4,,152,4.82,1.31,118,7.4,40.5,32,24.4,0.2,20.5,14.4,62.5,16,56,,,,,,,,심장질환,결석,,,,,,,,
5,V0806_5,미쉘,0.059,0.024,0.004,0.553,10.211,2.388,0.003,0.007,0.407,0.005,0.004,0.065,2257.857,251.182,475.009,82.731,24.92,183.507,217.868,30.025,0.679,0.231,1.016,0.027,0.021,0.059,0.143,1.818,8.988928347,10.3634173,5.741608345,7.363844302,1.891094903,27.2915473,개,슈나우저,10,FS,7.8,5,5,4,2,5,5,3,5,2,5,5,혈뇨,,,,,,,,,,방광 결석,,,,,,,,,,방광결석,,,,,,,,,,비뇨기질환,,,,,,,,,,2021-07-29,방광겨석 쇄석술,55,99,13,0.8,17,221,107,7.9,3.5,4.4,0.8,,,,,,,,,,,,7.24,47.2,18.9,65.2,26.1,40,17.5,31.1,0.4,,7.04,67.8,19.3,8.1,3.8,1,,4.77,1.36,0.57,0.27,0.07,,240,16.4,22.1,0.39,,154,4.26,1.39,117,7.38,31.2,41,17.9,-6.3,15.3,23.2,75.6,17.8,52,,,,,,,,결석,,,,,,,,,
6,V0806_6,보리,0.053,0.074,0.027,0.202,10.495,0.612,0.003,0.01,0.213,0.003,0.003,0.077,252.216,26.124,373.299,211.695,12.134,167.441,281.247,19.846,0.393,0.199,1.114,0.019,0.024,0.038,0.034,0.72,9.65457051,0.896777566,1.76338128,13.79932421,14.2895039,1.191412173,개,포메라니언,4,M,3.5,3,5,5,5,5,5,5,4,5,5,5,,,,,,,,,,,장염,,,,,,,,,,장염,,,,,,,,,,소화기질환,,,,,,,,,,2021-07-29,구토 및 설사,52,,,,,,,,,,,,,,,,,,,,,,7.54,50.5,18.1,67,24,35.8,16.6,62.6,0.8,,7.28,67.8,22.1,4.9,4.8,0.4,,4.93,1.61,0.36,0.35,0.03,,268,13,14,0.35,169.2,149,4.08,1.27,118,7.42,25.4,63,16.1,-7.6,13.5,19.4,92.6,22.3,53,10,,,,,,,기타,,,,,,,,,
7,V0806_7,율,0.078,0.063,0.008,0.471,44.377,2.217,0.004,0.046,0.468,0.007,0.012,0.109,738.034,273.331,14150.706,1475.924,10.278,158.108,374.174,71.394,1.309,0.621,1.096,0.075,0.119,0.115,0.067,3.735,2.70014744,1.972435284,9.587692862,15.38314847,51.77131756,0.500048783,개,와이머라너,17,MC,28,3,2,1,3,2,2,2,2,3,2,1,다리에 힘이 잘 안들어감,,,,,,,,,,관절염,만성췌장염,,,,,,,,,췌장염,관절염,,,,,,,,,소화기질환,정형질환,,,,,,,,,2021-07-29,정기검진,2,89,25.8,0.8,32.25,63,158,6.8,3.4,3.4,1,0.11,1,248,4.32,9.28,1949,2679,,27,,109,7.37,47.9,16.2,65,22,33.8,17,81.8,1.1,,9.65,80,10.7,5.5,3.3,0.5,,7.72,1.03,0.53,0.32,0.05,,228,14.9,16.6,0.34,879.4,155,4.78,1.38,123,7.38,32,39,18.4,-5.7,16.2,18.7,74,15.7,47,1.2,,,,,8,,췌장염,,,,,,,,,
8,V0806_8,권,0.245,0.03,0.004,0.165,13.405,0.567,0.003,0.004,0.631,0.005,0.005,0.055,991.118,193.37,1813.759,122.045,12.789,143.582,289.856,29.36,0.405,0.215,0.717,0.015,0.027,0.033,0.06,1.058,5.125500336,3.419346158,14.86139539,11.22699195,9.379733154,8.120922611,개,시바이누,8,MC,9.8,4,4,4,5,5,5,4,4,5,5,5,특이사항 없음,,,,,,,,,,건강함,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-07-28,모발검사,2,,,,,,,,,,,,,,,,,,,,,,8.93,50.3,18,56.3,20.2,35.8,21.1,49.1,0.6,,12.16,57,33.7,4.2,4.8,0.3,,6.93,4.1,0.51,0.58,0.04,,179,14.3,,0.26,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
9,V0806_9,쪽쪽이,0.063,0.095,0.041,0.691,47.023,1.862,0.011,0.023,0.429,0.006,0.011,0.223,478.484,87.086,3582.404,1197.012,14.973,415.095,237.032,73.542,1.547,0.441,0.789,0.057,0.183,0.116,0.076,2.592,5.494384861,2.018647271,2.992788711,27.72290122,41.13639391,0.399731999,개,시츄,17,FS,4.18,3,3,3,2,2,4,4,3,5,5,5,입맛 까다로움,큰 특이사항 없음,,,,,,,,,심부전,만성 신부전,,,,,,,,,심부전,신부전,,,,,,,,,심장질환,신장질환,,,,,,,,,2021-07-28,재검,4,,78.1,2.7,29,,,,,,,,,,5.4,,,,,,,,6.45,41.2,14.8,63.9,22.9,35.9,15.5,40,0.6,,8.86,59,22.8,6.9,10.5,0.8,,5.23,5.02,0.61,0.93,0.07,,415,11.7,10.5,0.49,,,,,,,,,,,,,,,,,,,,,,,신장질환,심장질환,,,,,,,,
10,V0806_11,세지쿠,0.132,0.021,0.008,0.283,5.288,1.129,0.001,0.02,0.522,0.003,0.004,0.048,1138.499,154.895,2326.756,411.083,13.522,178.467,247.296,16.393,0.251,0.553,0.786,0.013,0.033,0.017,0.027,3.366,7.350133962,4.603790599,5.660063783,13.19826949,15.02150489,2.769511267,개,비글,7,FS,8.6,4,4,4,5,5,5,4,4,4,5,5,건강함,,,,,,,,,,특이소견 없음,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-07-28,,2,,,,,,,,,,,,,,,,,,,,,,7.6,50.1,17.4,65.9,22.9,34.7,17.5,41,0.5,,5.14,66.2,23.3,6.8,2.9,0.8,,3.4,1.2,0.35,0.15,0.04,,244,13,12.5,0.32,,,,,,,,,,,,,,,,,,,,,,,건강,,,,,,,,,
11,V0806_12,봉봉,0.058,0.038,0.004,0.119,11.391,0.469,0.001,0.003,0.248,0.004,0.004,0.036,810.647,138.572,430.407,48.141,11.515,155.233,376.563,12.261,0.29,0.434,0.737,0.018,0.016,0.024,0.043,0.432,5.850005773,2.15275266,8.940549635,13.48093791,3.106017089,16.83901456,개,프렌치 불독,6,MC,8.8,4,4,4,3,2,5,5,5,5,5,5,귀 염증,헥헥거림,,,,,,,,,중이염,,,,,,,,,,중이염,,,,,,,,,,귀질환,,,,,,,,,,2021-07-26,왼쪽 TECA-LBO(Ref. 옥수수AH),55,,,,,,,,,,,,,,,,,,,,,,7.11,46.8,16.5,65.8,23.2,35.3,20.8,39.8,0.6,,13.23,82.8,11.7,4.8,0.1,0.6,,10.96,1.55,0.63,0.01,0.08,,318,12,10.2,0.38,,147,4.44,1.29,108,7.41,39.4,55,24.5,0.5,21.2,19.5,88.6,18.9,47,,,,,,,,기타,,,,,,,,,
12,V0806_13,코코,0.14,0.062,0.003,0.117,6.371,0.205,0.003,0.013,0.171,0.003,0.003,0.032,308.412,16,265.661,174.48,19.419,221.57,230.723,8.806,0.139,0.234,0.382,0.009,0.017,0.025,0.05,0.241,19.27575,1.33671979,1.522587116,11.40995932,16.6038125,1.767606602,개,말티즈,6,FS,2.5,3,4,3,4,4,4,4,4,4,4,4,,,,,,,,,,,건강함,,,,,,,,,,건강함,,,,,,,,,,건강,,,,,,,,,,2021-07-28,스탠다드 건강검진,204,94,28.6,0.47,60.85,39,139,6.8,3.5,3.3,1.06,0.22,9,303,3.5,9.19,787,,,43,,57,6.9,47,16.2,68.1,23.5,34.5,16.6,44.2,0.6,,6.22,62.3,28.1,4.8,4.5,0.3,,3.87,1.75,0.3,0.28,0.02,,374,11.9,11.5,0.45,,157,4.94,1.42,116,7.44,38.9,33,25.9,2.1,22.5,20.5,66.6,14,46,,0.2,5,83,8,,,건강,,,,,,,,,
